receipt_name,full_product_title,general_product_title,store,database,no_brand_descriptor_title,no_descriptor_title
ORGANIC GALA APPLE,organic gala apples,apples,publix,Organic gala apples,Organic gala apples,Organic gala apples
ACT STRWBY/BLUEBRY,activia probiotic yogurt,yogurt,publix,DANNON ACTIVIA FIBER PROBIOTIC LOWFAT YOGURT STRAWBERRY,DANNON ACTIVIA FIBER PROBIOTIC LOWFAT YOGURT STRAWBERRY,DANNON ACTIVIA FIBER PROBIOTIC LOWFAT YOGURT STRAWBERRY
OREO THINS PISTACH,oreo thins pistachio,oreos,publix,OREO THINS COOKIES PISTACHIO 1X10.1 OZ,OREO THINS COOKIES PISTACHIO 1X10.1 OZ,OREO THINS COOKIES PISTACHIO 1X10.1 OZ
OG GW BABY SPINACH,organic baby spinach,spinach,publix,ORGANIC BABY SPINACH,ORGANIC BABY SPINACH,ORGANIC BABY SPINACH
PAPAYA MARADOL,papaya,papaya,publix,PAPAYA CHUNKS,PAPAYA CHUNKS,PAPAYA CHUNKS
ORGANIC APPLES FUJ,organic fuji apples,apples,publix,ORGANIC FUJI APPLES,ORGANIC FUJI APPLES,ORGANIC FUJI APPLES
SABRA RST GARL HUM,sabra garlic hummus,hummus,publix,SABRA CLASSIC HUMMUS,SABRA CLASSIC HUMMUS,SABRA CLASSIC HUMMUS
CARROTS BABY CUT,baby cut carrots,carrots,publix,BABY CUT CARROTS,BABY CUT CARROTS,BABY CUT CARROTS
MOCHI ICE CREAM,mochi ice cream,ice cream,publix,MOCHI ICE CREAM,MOCHI ICE CREAM,MOCHI ICE CREAM
HTGF CHK BRST,heritage farm chicken breast,chicken breast,kroger,CHICKEN BREAST,CHICKEN BREAST,CHICKEN BREAST
GREEN BEANS,green beans,green beans,kroger,GREEN BEANS,GREEN BEANS,GREEN BEANS
KRO KALE,kroger kale,kale,kroger,KALE,KALE,KALE
PEPPERS RAINBOW,rainbow peppers,peppers,kroger,RAINBOW BELL PEPPERS,RAINBOW BELL PEPPERS,RAINBOW BELL PEPPERS
YAMS SWT JEWEL,sweet jewel yams,yams,kroger,CUT YAMS SWEET POTATOES,CUT YAMS SWEET POTATOES,CUT YAMS SWEET POTATOES
HTGF POTATOES RSST,heritage farm russet potatoes,potatoes,kroger,RUSSET POTATOES,RUSSET POTATOES,RUSSET POTATOES
KROGER BRC&CAU,kroger broccoli and cauliflower,broccoli and cauliflower,kroger,BROCCOLI AND CAULIFLOWER,BROCCOLI AND CAULIFLOWER,BROCCOLI AND CAULIFLOWER
KROGER FROZEN VEG,kroger frozen vegetable,frozen vegetables,kroger,FRESH FROZEN VEGETABLES,FRESH FROZEN VEGETABLES,FRESH FROZEN VEGETABLES
CLEMNTNES 3#,clementines 3 pounds,clementines,kroger,CLEMENTINE,CLEMENTINE,CLEMENTINE
BANANAS,bananas,bananas,kroger,BANANA,BANANA,BANANA
CHOBANI YOGURT,chobani yogurt,yogurt,kroger,GREEK YOGURT,GREEK YOGURT,GREEK YOGURT
BC PCH PIE,bakery peach pie,pie,kroger,PEACH PIE,PEACH PIE,PEACH PIE
BC COOKIES,bakery cookies,cookies,kroger,COOKIES,COOKIES,COOKIES
STRKST TUNA CRTNS,starkist tuna creations,tuna,kroger,TUNA CREATIONS,TUNA CREATIONS,TUNA CREATIONS
STARKIST TUNA,starkist tuna,tuna,kroger,TUNA,TUNA,TUNA
KRO OLIVE OIL,kroger olive oil,olive oil,kroger,OLIVE OIL,OLIVE OIL,OLIVE OIL
KROGER YEAST,kroger yeast,yeast,kroger,KROGER FAST RISE YEAST,KROGER FAST RISE YEAST,KROGER FAST RISE YEAST
WHITE LILLY FLOUR,white lilly flour,flour,kroger,FLOUR,FLOUR,FLOUR
KRO FLOUR,kroger flour,flour,kroger,FLOUR,FLOUR,FLOUR
KRO SALSA,kroger salsa,salsa,kroger,SALSA,SALSA,SALSA
CUPCAKE 6CT DEC,cupcake decorating kit,cupcake decorating kit,publix,CUPCAKE,CUPCAKE,CUPCAKE
AQUAFINA WATER,aquafina water,water,publix,WATER,WATER,WATER
GLAZED DONUT,glazed donut,glazed donut,publix,GLAZED DONUTS,GLAZED DONUTS,GLAZED DONUTS
PUBLIX MILK WH 0.5,publix whole milk half gallon,whole milk half gallon,publix,WHOLE MILK,WHOLE MILK,WHOLE MILK
PROG CHICK BROTH,progresso chicken broth,chicken broth,publix,CHICKEN BROTH,CHICKEN BROTH,CHICKEN BROTH
MULTIGRAIN CHEERIO,multigrain cheerios,cheerios,safeway,CHEERIOS CEREAL,CHEERIOS CEREAL,CHEERIOS CEREAL
PROGRESSO R&H STK,progresso rich & heart steak & homestyle noodles,canned soup,safeway,SOUP,SOUP,SOUP
LAVDR PEEPS,peeps lavender marshmallow chicks,marshmallows,walmart,MARSHMALLOWS,MARSHMALLOWS,MARSHMALLOWS
PEZ DISPENSE,pez dispenser,pez candy,walmart,CANDY & DISPENSER,CANDY & DISPENSER,CANDY & DISPENSER
JELLY BEANS,jelly beans,jelly beans,walmart,JELLY BEANS,JELLY BEANS,JELLY BEANS
ROLD GOLD,rold gold pretzels,pretzels,walmart,PRETZEL,PRETZEL,PRETZEL
